nest,FirstFound,LastPresent,LastChecked,Fate,Freq,year,island,cam,n,terr,Survive,Fledge,Hatch,LastChecked,first,lay_date,h_date,fledge_Date,last_date,days_active,chick,pred,type,ground,veg_cover,place,per_cover,str_veg_cm,str_rock_cm,max_str,dens,nn,cam_n,area(m2),cause,abandon,pred_type,pred_rat,Time,time_am,time_pm,nest_lagu,nest_tern,notes
S4-4,9,27,27,0,1,2018,Shark,S4,440,USVI,0,0,1,28,25-May,16-May,9-Jun,NA,12-Jun,18,0,1,cov,litter,vine,center,0.25,12.7,30.48,6.475,1.25,0.25,5,4,P,0,GREG,NA,AM,1,0,2,0,"Can't see chick but feeding behaior 6/9. Egg vis 7:57 6/12, adults all flush and then broken egg vis. Then hermit crab shows up--guessing attracted to mess. Seems like GREG predation. "
SO-3,9,37,37,0,1,2018,Shark,SO,440,USVI,0,0,1,38,25-May,15-May,8-Jun,NA,11-Jun,17,0,1,bare,litter,litter,periph,0,0,5.08,0,2.22,1,5,2.25,P,0,GREG,NA,AM,1,0,2,0,chick removed between 5:55-6:25 
SY-1,9,18,18,0,1,2018,Shark,SY,440,USVI,0,0,0,19,25-May,NA,NA,NA,3-Jun,9,NA,1,bare,rock,grass,center,0.25,2.54,30.48,1.395,3,0.25,3,1,P,0,GREG,NA,AM,1,0,2,0,"GREG destroyed all 3 nests, ate eggs messily ~9am"
SY-2,9,18,18,0,1,2018,Shark,SY,440,USVI,0,0,0,19,25-May,NA,NA,NA,3-Jun,9,NA,1,cov,rock,none,center,0,0,15.24,0,3,0.25,3,1,P,0,GREG,NA,AM,1,0,2,0,
SY-3,9,18,18,0,1,2018,Shark,SY,440,USVI,0,0,0,19,25-May,NA,NA,NA,3-Jun,9,NA,1,bare,rock,none,center,0,0,5.08,0,3,0.25,3,1,P,0,GREG,NA,AM,1,0,2,0,
LS-1,5,31,31,0,1,2018,LeDuck,LS,296,USVI,0,0,0,32,21-May,NA,NA,NA,27-Jun,37,NA,1,cov,litter,grass,center,0.75,15.24,30.48,7.995,0.08,3,2,25,P,0,HC,NA,PM,0,1,1,1,egg #1 removed from nest 6/27; hermit crabs take eggs 2 & 3 night of 6/28
S1-2-1,20,22,22,0,1,2017,Shark,S1,21,USVI,0,0,0,23,5-Jun,NA,NA,NA,7-Jun,2,NA,1,cov,rock,vine,periph,0.5,7.62,2.54,4.06,1,0.5,4,4,P,0,HC,NA,PM,0,1,2,0,"abandoned 6:08 pm 7/13, no apparent reason "
S4-1,9,27,27,0,1,2018,Shark,S4,440,USVI,0,0,0,28,25-May,NA,NA,NA,8-Jun,14,NA,1,cov,litter,vine,center,0.25,12.7,5.08,6.475,1.25,0.25,5,4,P,0,HC,NA,PM,0,1,2,0,Nest abandoned ~2pm 6/8 cause unk 
S4-3,9,25,25,0,1,2018,Shark,S4,440,USVI,0,0,0,26,25-May,NA,NA,NA,10-Jun,16,NA,1,cov,litter,vine,center,1,10.16,5.08,5.58,1.25,0.25,5,4,P,0,HC,NA,PM,0,1,2,0,
S2-1,20,30,30,0,1,2017,Shark,S2,21,USVI,0,0,0,31,5-Jun,NA,NA,NA,15-Jun,10,NA,1,cov,veg,grass,center,0.5,15.24,30.48,7.87,1,0,1,1,P,0,LAGU,NA,AM,1,0,2,0,"LAGU takes egg ~2:45pm 6/15, single adult remains at nest, tries to defend. Adult leaves site ~4:45pm"
S3-3,20,23,23,0,1,2017,Shark,S3,21,USVI,0,0,0,24,5-Jun,NA,NA,NA,8-Jun,3,NA,1,bare,soil,none,center,0,0,7.62,0,1.78,0.5,4,2.25,P,0,LAGU,NA,AM,1,0,2,0,"predation 6/8 at 4:48, LAGU on cam & seen attacking nest 1 earlier "
S3-4,20,29,29,0,1,2017,Shark,S3,21,USVI,0,0,1,30,5-Jun,18-May,11-Jun,NA,14-Jun,9,0,1,bare,soil,vine,center,0.5,0,15.24,0.25,1.78,1,4,2.25,P,0,LAGU,NA,AM,1,0,2,0,LAGU attacks 6/14
C2-1,18,31,31,1,1,2018,Cockroach,C2,227,BVI,1,1,1,31,3-Jun,18-May,11-Jun,14-Jun,24-Jun,21,1,0,bare,litter,none,periph,0,7.62,0,3.81,0.75,0.5,3,4,NA,0,NA,0,NA,NA,NA,2,0,"rat at nest, takes chick B--predation?! Rat in colony every night, ROST leave site by 6/24 (chick last seen)"
C2-2,18,28,28,1,1,2018,Cockroach,C2,227,BVI,1,1,1,28,3-Jun,17-May,10-Jun,13-Jun,18-Jun,15,1,0,bare,litter,none,periph,0,15.24,15.24,7.62,0.75,0.5,3,4,NA,0,NA,0,NA,NA,NA,2,0,
