camera,nest,island,territory,year,date,julian,time,time_light,nest_n,period,pred_type,predator,leaves,stay+defend,response,outcome,pred,no_pred
C1,C1,Cockroach,BVI,2018,3-Jun,155,20:45,night,1,I,RAT,RAT,1,0,1,1,1,0
C10-C,C10-C,Congo,USVI,2017,1-Jun,153,3:41,night,1,EC,RAT,RAT,0,1,2,0,0,1
C10-C,C10-C,Congo,USVI,2017,1-Jun,153,3:41,night,1,EC,crab,crab,0,1,4,0,0,1
C10-C,C10-C,Congo,USVI,2017,3-Jun,155,4:05,night,1,EC,crab,crab,0,1,4,0,0,1
C10-C,C10-C,Congo,USVI,2017,3-Jun,155,4:45,night,1,EC,crab,crab,0,1,4,1,1,0
C10-C,C10-C,Congo,USVI,2017,2-Jun,154,12:55,day,1,EC,crab,crab,0,1,4,0,0,1
C10-C,C10-C,Congo,USVI,2017,2-Jun,154,19:42,night,1,EC,crab,crab,0,1,4,0,0,1
C10-C,C10-C,Congo,USVI,2017,1-Jun,153,19:51,night,1,EC,crab,crab,0,1,4,0,0,1
C10-C,C10-C,Congo,USVI,2017,2-Jun,154,20:38,night,1,EC,crab,crab,0,1,4,0,0,1
C10-C,C10-C,Congo,USVI,2017,31-May,152,21:45,night,1,EC,crab,crab,0,1,4,0,0,1
C10-C,C10-C,Congo,USVI,2017,26-May,146,1:29,night,1,I,RAT,RAT,0,1,2,0,0,1
C10-C,C10-C,Congo,USVI,2017,27-May,147,2:02,night,1,I,RAT,RAT,0,1,2,0,0,1
C10-C,C10-C,Congo,USVI,2017,27-May,147,2:22,night,1,I,RAT,RAT,0,1,2,0,0,1
C10-C,C10-C,Congo,USVI,2017,19-May,140,19:54,night,1,I,RAT,RAT,0,1,2,0,0,1
C10-C,C10-C,Congo,USVI,2017,25-May,146,20:29,night,1,I,RAT,RAT,0,1,2,0,0,1
C10-C,C10-C,Congo,USVI,2017,24-May,145,23:18,night,1,I,crab,crab,0,1,2,0,0,1
C10-C,C10-C,Congo,USVI,2017,24-May,145,23:18,night,1,I,RAT,RAT,0,1,2,0,0,1
C2,C2-1,Cockroach,BVI,2018,18-Jun,170,0:16,night,2,LC,RAT,RAT,1,0,3,0,0,1
C2,C2-1,Cockroach,BVI,2018,19-Jun,171,0:19,night,2,LC,RAT,RAT,1,0,1,0,0,1
C2,C2-1,Cockroach,BVI,2018,21-Jun,172,0:56,night,2,LC,RAT,RAT,1,0,1,0,0,1
C2,C2-1,Cockroach,BVI,2018,24-Jun,174,0:57,night,2,LC,RAT,RAT,1,0,1,0,0,1
C2,C2-1,Cockroach,BVI,2018,22-Jun,173,2:17,night,2,LC,RAT,RAT,1,0,1,0,0,1
